Path,File Name,Position
Controllers\APSPortalControllers\,APSBudgetController.cs,5 public class APSBudgetController : GridParentPopupFormController<GVAPSBudgetModel...
Controllers\APSPortalControllers\,APSPayableController.cs,5 public class APSBudgetController : GridParentPopupFormController<GVAPSBudgetModel...
Controllers\APSPortalControllers\,APSTransactController.cs,5 public class APSTransactController : GridParentPopupFormController<GVAPSTransactModel...
Controllers\APSPortalControllers\,ContractController.cs,5 public class APSTransactController : GridParentPopupFormController<GVAPSTransactModel...
Controllers\APSPortalControllers\ARSPortalControllers\,ARSBudgetController.cs,5 public class ARSBudgetController : GridParentPopupFormController<GVARSBudgetModel...
Controllers\APSPortalControllers\ARSPortalControllers\,ARSContractController.cs,5 public class ARSBudgetController : GridParentPopupFormController<GVARSBudgetModel...
Controllers\APSPortalControllers\ARSPortalControllers\,ARSCounterSaleGridController.cs,14 public class ARSCounterSaleGridController : GridParentPopupFormController<ARSInvoiceModel...
Controllers\APSPortalControllers\ARSPortalControllers\,ARSInvoiceApprovalController.cs,14 public class ARSCounterSaleGridController : GridParentPopupFormController<ARSInvoiceModel...
Controllers\APSPortalControllers\ARSPortalControllers\,ARSInvoiceApprovalController.cs,5 public class ARSInvoiceApprovalController : GridParentPopupFormController<GVARSInvoiceApprovalModel...
Controllers\APSPortalControllers\ARSPortalControllers\,ARSInvoiceController.cs,5 public class ARSInvoiceApprovalController : GridParentPopupFormController<GVARSInvoiceApprovalModel...
Controllers\APSPortalControllers\ARSPortalControllers\,ARSVendorController.cs,5 public class ARSVendorController : GridParentPopupFormController<GVVendorModel...
Controllers\APSPortalControllers\ARSPortalControllers\,CustomerController.cs,5 public class ARSVendorController : GridParentPopupFormController<GVVendorModel...
Controllers\APSPortalControllers\ARSPortalControllers\,CustomerController.cs,6 public class CustomerController : GridParentPopupFormController<GVCustomerModel...
AdminPortalControllers\OLDStuff\,TaskController.cs,5 public class TaskController : GridParentPopupFormController<TaskModel...
AdminPortalControllers\OLDStuff\,APIAccessController.cs,5 public class TaskController : GridParentPopupFormController<TaskModel...
AdminPortalControllers\OLDStuff\,APIAccessController.cs,6 public class APIAccessController : GridParentPopupFormController<GVAPIAccessModel...
AdminPortalControllers\OLDStuff\,AdminUsersController.cs,6 public class APIAccessController : GridParentPopupFormController<GVAPIAccessModel...
AdminPortalControllers\OLDStuff\,AdminUsersController.cs,13 public class AdminUsersController : GridParentPopupFormController<GVIRISUserModel...
CASPortalControllers\,ActivityController.cs,8 public class ActivityController : GridParentPopupFormController<GVActivityModel...
CASPortalControllers\,CrewEmployeeController.cs,8 public class ActivityController : GridParentPopupFormController<GVActivityModel...
CASPortalControllers\,CrewEmployeeController.cs,10 public class CrewEmployeeController : GridParentPopupFormController<CrewEmployeeModel...
CASPortalControllers\,CrewEquipmentController.cs,10 public class CrewEmployeeController : GridParentPopupFormController<CrewEmployeeModel...
CASPortalControllers\,CrewMaterialController.cs,10 public class CrewMaterialController : GridParentPopupFormController<CrewMaterialModel...
CASPortalControllers\,CrewServiceController.cs,10 public class CrewMaterialController : GridParentPopupFormController<CrewMaterialModel...
CASPortalControllers\,EmployeeCertController.cs,9 public class EmployeeCertController : GridParentPopupFormController<GVEmployeeCertModel...
CASPortalControllers\,EmployeeController.cs,9 public class EmployeeCertController : GridParentPopupFormController<GVEmployeeCertModel...
CASPortalControllers\,EmployeeController.cs,5 public class EmployeeController : GridParentPopupFormController<GVEmployeeModel...
CASPortalControllers\,EmployeeIssuedItemsController.cs,5 public class EmployeeController : GridParentPopupFormController<GVEmployeeModel...
CASPortalControllers\,EmployeeIssuedItemsController.cs,9 public class EmployeeIssuedItemsController : GridParentPopupFormController<GVEmployeeCertModel...
CASPortalControllers\,EmployeeRateController.cs,9 public class EmployeeIssuedItemsController : GridParentPopupFormController<GVEmployeeCertModel...
CASPortalControllers\,InvReceiveController.cs,11 public class InvReceiveController : GridParentPopupFormController<GVInvReceiveModel...
CASPortalControllers\,InvTransactController.cs,11 public class InvReceiveController : GridParentPopupFormController<GVInvReceiveModel...
CASPortalControllers\,InvTransactController.cs,9 public class InvTransactController : GridParentPopupFormController<GVInvTransactModel...
CASPortalControllers\,InventoryController.cs,9 public class InvTransactController : GridParentPopupFormController<GVInvTransactModel...
CASPortalControllers\,InventoryController.cs,8 public class InventoryController : GridParentPopupFormController<GVInventoryModel...
CASPortalControllers\,InventoryTransferController.cs,8 public class InventoryController : GridParentPopupFormController<GVInventoryModel...
CASPortalControllers\,InventoryTransferController.cs,5 public class InventoryTransferController : GridParentPopupFormController<GVInventoryTransferModel...
CASPortalControllers\,PayTypeController.cs,5 public class InventoryTransferController : GridParentPopupFormController<GVInventoryTransferModel...
CASPortalControllers\,PayVarianceController.cs,4 public class PayVarianceController : GridParentPopupFormController<PayVarianceModel...
CASPortalControllers\,PayVarianceDataController.cs,4 public class PayVarianceController : GridParentPopupFormController<PayVarianceModel...
CASPortalControllers\,PayVarianceDataController.cs,10 public class PayVarianceDataController : GridParentPopupFormController<PayVarianceDataModel...
CASPortalControllers\,PremiumController.cs,10 public class PayVarianceDataController : GridParentPopupFormController<PayVarianceDataModel...
CASPortalControllers\,PremiumController.cs,5 public class PremiumController : GridParentPopupFormController<GVPremiumModel...
CASPortalControllers\,ProjectBillRateController.cs,5 public class PremiumController : GridParentPopupFormController<GVPremiumModel...
CASPortalControllers\,ProjectBillRateController.cs,9 public class ProjectBillRateController : GridParentPopupFormController<GVProjectBillRateModel...
CASPortalControllers\,ProjectController.cs,9 public class ProjectBillRateController : GridParentPopupFormController<GVProjectBillRateModel...
CASPortalControllers\,RBFController.cs,6 public class RBFController : GridParentPopupFormController<GVRBFModel...
CASPortalControllers\,ResourceClassController.cs,6 public class RBFController : GridParentPopupFormController<GVRBFModel...
CASPortalControllers\,ResourceClassController.cs,5 public class ResourceClassController : GridParentPopupFormController<GVResourceClassModel...
CASPortalControllers\,TimeAccrualController.cs,5 public class ResourceClassController : GridParentPopupFormController<GVResourceClassModel...
CASPortalControllers\,TimeCardController.cs,7 public class TimeCardController : GridParentPopupFormController<GVTimeCardModel...
CASPortalControllers\,TransactController.cs,7 public class TimeCardController : GridParentPopupFormController<GVTimeCardModel...
CASPortalControllers\,TransactController.cs,9 public class TransactController : GridParentPopupFormController<GVTransactModel...
CASPortalControllers\,VendorController.cs,9 public class TransactController : GridParentPopupFormController<GVTransactModel...
CASPortalControllers\,VendorController.cs,5 public class VendorController : GridParentPopupFormController<GVVendorModel...
EMSPortlalControllers\,EMSDepartmentHistoryController.cs,5 public class EMSDepartmentHistoryController : GridParentPopupFormController<GVEMSDepartmentHistoryModel...
